id,discount
418771,28
418770,28
418768,28
284304,44
284332,44
284319,44
284340,45
284265,44
306311,44
284264,44
284308,44
284277,44
284301,44
284272,44
284698,44
284269,44
284287,44
420464,44
284344,44
420435,28
380159,28
420450,58
420446,58
420449,44
401672,34
398762,44
420434,49
420440,34
420444,34
427657,44
417720,34
328664,34
427658,34
383630,58
384205,44
423245,58
410712,58
382049,58
382050,33
426652,49
267277,34
409838,58
267279,48
261373,48
326624,48
364845,58
401858,49
424839,48
302774,43
261374,33
401857,58
267276,44
330469,33
364920,19
401856,48
274184,9
340335,15
412210,34
423143,34
409815,34
409816,34
409820,34
409818,34
409819,44
412256,34
277149,49
277148,49
277140,44
388131,44
422299,48
422301,48
275236,34
167976,34
275244,49
284711,58
422302,48
275246,49
275247,49
386222,58
422300,49
424593,49
413461,66
423825,66
424241,48
424242,48
424237,48
424238,48
424240,48
424239,48
307943,49
429335,44
429334,44
428811,49
422398,44
273496,20
273494,20
273497,20
405272,34
390706,44
409824,43
277142,10
321323,10
321325,10
277153,34
277152,34
277136,10
356608,10
356613,10
356612,10
346188,15
277139,15
386223,28
413260,10
424064,15
404907,10
424060,5
424061,5
351590,10
344757,7
354279,20
426578,10
425713,66
429637,58
429638,58
429639,58
429640,58
375067,20
281317,45
420465,44
428888,44
427660,34
420442,49
406862,34
396261,34
423244,48
405876,49
423350,49
423351,34
423247,14
423246,58
423345,44
354540,33
426651,49
333869,28
412211,34
394916,45
412340,44
412338,44
412341,44
412339,44
429338,44
429337,44
429336,10
426177,48
351592,15
240125,10
398725,10
422125,34
393066,10
409832,2
355740,4
341173,50
307945,49
364135,15
368743,10
415538,10
415539,10
422398,44
382078,44
404819,44
275922,44
275927,44
