id,original_price,sell_price,variations_types,stocks,size
SB0001,61,57,500|1000|2000|3000|4000|5000,100,1
SB0002,38,35,500|1000|2000|3000|4000|5000,0,1
SB0004,173,160,500|1000|2000|3000|4000|5000,100,1
SB0005,74,69,500|1000|2000|3000|4000|5000,0,1
SB0006,41,41,500|1000|2000|3000|4000|5000,0,1
SB0007,61,57,500|1000|2000|3000|4000|5000,0,1
SB0008,50,46,500|1000|2000|3000|4000|5000,100,1
SB0009,242,242,100|200|300|400|500|600|700|800|900|1000,100,1
SB0010,162,162,500|1000|2000|3000|4000|5000,0,1
SB0011,44,41,500|1000|2000|3000|4000|5000,100,1
SB0012,138,127,500|1000|2000|3000|4000|5000,100,1
SB0013,83,77,500|1000|2000|3000|4000|5000,100,1
SB0014,103,95,500|1000|2000|3000|4000|5000,100,1
SB0015,58,54,500|1000|2000|3000|4000|5000,100,1
SB0016,128,128,500|1000|2000|3000|4000|5000,0,1
SB0017,109,101,500|1000|2000|3000|4000|5000,100,1
SB0018,87,81,500|1000|2000|3000|4000|5000,100,1
SB0019,127,117,500|1000|2000|3000|4000|5000,100,1
SB0020,104,96,500|1000|2000|3000|4000|5000,100,1
SB0021,142,142,500|1000|2000|3000|4000|5000,0,1
SB0022,92,79,500|1000|2000|3000|4000|5000,100,1
SB0023,150,150,500|1000|2000|3000|4000|5000,100,1
SB0024,127,127,500|1000|2000|3000|4000|5000,0,1
SB0026,156,156,500|1000|2000|3000|4000|5000,0,1
SB0027,156,156,500|1000|2000|3000|4000|5000,0,1
SB0028,109,109,500|1000|2000|3000|4000|5000,0,1
SB0029,127,117,500|1000|2000|3000|4000|5000,100,1
SB0030,109,101,500|1000|2000|3000|4000|5000,100,1
SB0031,44,40,500|1000|2000|3000|4000|5000,0,1
SB0032,107,99,500|1000|2000|3000|4000|5000,100,1
SB0033,44,44,500|1000|2000|3000|4000|5000,100,1
SB0034,146,135,500|1000|2000|3000|4000|5000,0,1
SB0035,42,39,500|1000|2000|3000|4000|5000,0,1
SB0003,39,36,500|1000|2000|3000|4000|5000,0,1
SB0025,42,39,500|1000|2000|3000|4000|5000,100,1
SB0036,120,111,500|1000|2000|3000|4000|5000,100,1
