id,original_price,sell_price,variations_types,stocks,size
423143,749,501,[],100,0
409815,749,501,[],100,0
409816,749,501,[],100,0
409820,1199,683,[],100,0
409818,1199,683,[],100,0
409819,1199,683,[],100,0
412256,1199,683,[],100,0
420436,299,218,[],0,0
380159,590,430,[],100,0
420450,299,128,[],100,0
420446,199,85,[],100,0
420449,249,166,[],100,0
401672,999,669,[],0,0
398762,555,316,[],0,0
420434,449,233,[],0,0
420440,249,166,[],0,0
420444,299,200,[],0,0
427657,299,170,[],0,0
417720,225,150,[],100,0
328664,379,253,[],100,0
427658,899,602,[],100,0
383630,350,150,[],100,0
384205,1099,626,[],100,0
423245,549,236,[],100,0
410712,1899,816,[],100,0
382049,999,429,[],100,0
382050,700,469,[],100,0
427660,899,602,[],100,0
420442,199,103,[],100,0
406862,487,326,[],0,0
396261,995,666,[],100,0
423244,400,208,[],100,0
405876,249,129,[],100,0
423350,199,103,[],100,0
423351,549,367,[],100,0
423247,600,516,[],100,0
423246,549,236,[],100,0
423345,350,199,[],100,0
427659,899,512,[],0,0
420435,299,218,[],100,0
284304,95,54,[],100,0
284332,67,38,[],100,0
284319,67,38,[],100,0
284340,54,30,[],100,0
284265,80,45,[],100,0
306311,85,48,[],100,0
284264,65,37,[],0,0
284308,65,37,[],100,0
284277,65,37,[],100,0
284301,65,37,[],100,0
284272,65,37,[],100,0
284698,82,46,[],100,0
284269,75,42,[],100,0
284287,75,42,[],100,0
420464,30,17,[],100,0
284344,50,28,[],100,0
420465,30,17,[],100,0
428888,30,17,[],0,0
281317,56,31,[],100,0
354540,2000,1140,[],100,0
426652,489,420,[],100,0
426651,1499,779,[],100,0
333869,1075,784,[],0,0
267277,1350,904,[],100,0
387893,625,418,[],100,0
409838,899,467,[],0,0
267279,700,364,[],100,0
261373,600,312,[],0,0
326624,2600,1352,[],100,0
364845,2999,2429,[],100,0
401858,2899,1246,[],100,0
424839,2700,1404,[],0,0
302774,5500,3135,[],100,0
261374,2500,1675,[],100,0
401857,3999,1719,[],100,0
267276,1350,769,[],100,0
330469,1400,938,[],100,0
364920,4500,3870,[],0,0
401856,3900,2028,[],100,0
274184,1200,1092,[],100,0
340335,225,193,[],0,0
387894,750,607,[],100,0
422299,75,39,[],100,0
423582,38,30,[],100,0
422300,165,85,[],100,0
422301,50,26,[],100,0
424593,350,199,[],100,0
275236,375,251,[],100,0
167976,875,586,[],100,0
275244,499,259,[],100,0
284711,189,81,[],100,0
275246,249,129,[],100,0
275247,375,213,[],100,0
386222,499,214,[],0,0
422300,165,85,[],100,0
394916,70,39,[],0,0
386223,449,327,[],0,0
321323,170,166,[],0,0
321325,170,166,[],0,0
277153,170,146,[],100,0
277152,170,146,[],100,0
277136,86,78,[],100,0
356613,86,78,[],100,0
346188,120,103,[],0,0
277139,120,103,[],0,0
277142,93,84,[],100,0
356608,86,78,[],0,0
277149,732,380,[],100,0
277148,732,380,[],100,0
277140,375,213,[],0,0
351590,295,268,[],100,0
351592,295,253,[],100,0
422398,550,313,[],100,0
404819,115,65,[],100,0
413260,199,181,[],100,0
424064,189,162,[],0,0
404907,99,90,[],100,0
424060,60,57,[],100,0
424061,60,57,[],100,0
424241,225,117,[],100,0
424242,225,117,[],100,0
424237,225,117,[],100,0
424238,225,117,[],0,0
424240,225,117,[],0,0
424239,225,117,[],100,0
413461,2000,680,[],0,0
412340,245,139,[],100,0
412338,75,42,[],0,0
412341,245,139,[],100,0
412339,75,42,[],100,0
412340,245,139,[],100,0
423825,2500,850,[],100,0
429637,249,107,[],100,0
429638,249,107,[],100,0
429639,249,107,[],100,0
429640,249,107,[],100,0
275922,210,119,[],100,0
275927,210,119,[],100,0
382078,199,113,[],100,0
418771,250,182,[],100,0
418770,225,164,[],100,0
418768,225,164,[],100,0
364135,110,94,[],100,0
368743,110,100,[],100,0
415538,110,100,[],100,0
415539,110,100,[],100,0
405272,180,120,[],#N/A,0
390706,180,102,[],100,0
344757,50,47,[],100,0
409832,150,147,[],0,0
355740,30,29,[],100,0
426177,300,156,[],100,0
240125,349,317,[],100,0
398725,199,181,[],100,0
354279,450,364,[],100,0
426578,290,263,[],0,0
412210,290,194,[],100,0
422125,175,117,[],100,0
393066,130,118,[],100,0
360361,175,150,[],100,0
410702,120,97,[],100,0
399534,40,22,[],100,0
399516,81,42,[],100,0
343177,210,119,[],100,0
210060,399,380,[],100,0
372908,960,380,[],100,0
408638,250,213,[],0,0
279833,475,346,[],100,0
390135,234,170,[],100,0
326167,120,80,[],100,0
319237,95,76,[],100,0
431974,149,77,[],100,0
425713,1000,340,[],100,0
356612,86,78,[],100,0
