id,original_price,sell_price,variations_types,stocks,size
SB0001,61,56.12,500|1000|2000|3000|4000|5000,100,1
SB0002,38,34.96,500|1000|2000|3000|4000|5000,100,1
SB0004,173,159.16,500|1000|2000|3000|4000|5000,100,1
SB0005,74,68.08,500|1000|2000|3000|4000|5000,100,1
SB0006,41,41,500|1000|2000|3000|4000|5000,0,1
SB0007,61,56.12,500|1000|2000|3000|4000|5000,0,1
SB0008,50,46,500|1000|2000|3000|4000|5000,100,1
SB0009,242,242,100|200|300|400|500|600|700|800|900|1000,0,1
SB0010,162,162,500|1000|2000|3000|4000|5000,0,1
SB0011,44,40.48,500|1000|2000|3000|4000|5000,100,1
SB0012,138,126.96,500|1000|2000|3000|4000|5000,100,1
SB0013,83,76.36,500|1000|2000|3000|4000|5000,100,1
SB0014,103,100.94,500|1000|2000|3000|4000|5000,0,1
SB0015,58,53.36,500|1000|2000|3000|4000|5000,100,1
SB0016,128,128,500|1000|2000|3000|4000|5000,0,1
SB0017,109,100.28,500|1000|2000|3000|4000|5000,100,1
SB0018,87,80.04,500|1000|2000|3000|4000|5000,100,1
SB0019,127,116.84,500|1000|2000|3000|4000|5000,100,1
SB0020,104,95.68,500|1000|2000|3000|4000|5000,100,1
SB0021,142,142,500|1000|2000|3000|4000|5000,0,1
SB0022,92,78.2,500|1000|2000|3000|4000|5000,100,1
SB0023,150,150,500|1000|2000|3000|4000|5000,0,1
SB0024,127,127,500|1000|2000|3000|4000|5000,0,1
SB0026,156,156,500|1000|2000|3000|4000|5000,0,1
SB0027,156,156,500|1000|2000|3000|4000|5000,0,1
SB0028,109,109,500|1000|2000|3000|4000|5000,0,1
SB0029,127,116.84,500|1000|2000|3000|4000|5000,100,1
SB0030,109,100.28,500|1000|2000|3000|4000|5000,100,1
SB0031,44,39.6,500|1000|2000|3000|4000|5000,0,1
SB0032,107,98.44,500|1000|2000|3000|4000|5000,100,1
SB0033,44,40.48,500|1000|2000|3000|4000|5000,100,1
SB0034,146,134.32,500|1000|2000|3000|4000|5000,100,1
SB0035,42,38.64,500|1000|2000|3000|4000|5000,100,1
SB0003,39,35.88,500|1000|2000|3000|4000|5000,100,1
SB0025,42,38.64,500|1000|2000|3000|4000|5000,100,1
SB0036,120,110.4,500|1000|2000|3000|4000|5000,100,1
